video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=48ynPuHYiCA&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@HollywoodSuiteTV,Hollywood Suite,Erin Brockovich – Bringing a True Story to Life on Screen,1.5K,3 years,Did you know director Steven Soderbergh helped bring the true story in the film Erin Brockovich (2000) to life by casting residents ...,2024-01-27 23:54:49.393381
/watch?v=cLzDiE9L1IM&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@questionsandanswerswaudrey4076,QUESTIONS and ANSWERS w/ Audrey,Is George in Erin Brockovich a real person?,105,7 months,"Discover the true story behind Erin Brockovich's heroic fight for justice as we delve into the real-life experiences of George, one of ...",2024-01-27 23:54:49.399023
/watch?v=3whJEiqKZCI&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@monicatorres3794,Monica Torres,Erin Brockovich: Getting into agreement,1K,1 year,"Erin Brockovich helps the people of Hinkley enter into an agreement with attorney, Ed Masry.",2024-01-27 23:54:49.400837
/watch?v=CJxkymMZD1Y&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@OWN,OWN,How the Real Erin Brokovich Dealt With Overnight Fame | Where Are They Now | Oprah Winfrey Network,258K,10 years,"When the movie Erin Brokovich hit theaters in 2000, viewers across the country learned the true story of a single mom, with no ...",2024-01-27 23:54:49.405448
/watch?v=CyUYnXCUgkw&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@bbqbill54,WindyBill's Adventures and Oddities,Hinkley CA,147,4 months,"Hinkley CA, This is the small town that the movie Erin Brockovich was made about back 2000. The town is now only a spot of what ...",2024-01-27 23:54:49.410805
/watch?v=uojP01pTBiw&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@bingesociety,Binge Society ,Best of Julia Roberts in Erin Brockovich,14K,10 months,The amazing Julia Roberts got her first Academy Award by playing real-life Erin Brockovich! Which is your favorite scene of the ...,2024-01-27 23:54:49.413861
/watch?v=hjumbdzIrOU&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@LeejaMiller,Leeja Miller,Real Lawyer Reacts to ERIN BROCKOVICH,56K,3 years,I'm a real life lawyer and today I'm watching the iconic lawyer film ERIN BROCKOVICH. Won't you join me? Learn about ...,2024-01-27 23:54:49.422280
/watch?v=buPKHsYasIc&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@Weddingrio,Danielle Trigueiros,Erin Brockovich,360K,11 years,snippet of the movie.,2024-01-27 23:54:49.424103
/watch?v=5F12Q6ADRnY&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@LawsuitLore,Lawsuit Lore,Erin Brockovich and the Anderson v. Pacific Gas Case,6,10 days,"The Anderson v. Pacific Gas & Electric case was a landmark legal battle in the 1990s, where residents of Hinkley, California, led ...",2024-01-27 23:54:49.427106
/watch?v=5qiF5g-HiHk&pp=ygUiSGlua2xleSBDYWxpZm9ybmlhIGVyaW4gYnJvY2tvdmljaA%3D%3D,/@celin78james,celin78james,Erin Brockovich Town Faces Deadline,571,11 years,"Residents of Hinkley, Calif., are facing a deadline today to decide whether to sell their homes to the power company that polluted ...",2024-01-27 23:54:49.435553
