video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=0CnT2VpCIUI&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@ThyCaInc,"ThyCa: Thyroid Cancer Survivors' Association, Inc.",Thyroid Cancer: Drugs in Development for Refractory Thyroid Cancer. Dr. Bowles. ThyCa Conference,734,8 years,"Drugs in Development for Refractory Thyroid Cancer Daniel Bowles, M.D., Medical Oncologist.",2024-01-27 23:52:23.474374
/watch?v=fnov8Rat_SY&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@cbssf,KPIX | CBS NEWS BAY AREA,Pt. 2: California Town's Water Tainted With Arsenic,792,7 years,A Central Valley town's water supply has been contaminated with arsenic - for decades. Allen Martin reports. (5/15/16),2024-01-27 23:52:23.475234
/watch?v=KaXVmNRtSo0&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@OncLiveTV,OncLiveTV,Biological Breakthroughs in Pancreas Cancer,808,6 years,"Johanna C. Bendell, MD, leads experts Manuel Hidalgo, MD, PhD; Ramesh K. Ramanathan, MD; and Thomas Seufferlein, MD, ...",2024-01-27 23:52:23.476871
/watch?v=GiTvEp6XTLU&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@vanderbilt,Vanderbilt University,Kathy DelGiorno Full Interview – Pancreatic Cancer,197,2 years,"Dr. Kathy DelGiorno, Vanderbilt University Assistant Professor of Cell and Developmental Biology, discusses her research, which ...",2024-01-27 23:52:23.478929
/watch?v=EAEKxrLEXt0&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@ColumbiaSurgery,Columbia University Department of Surgery,"Pancreatic Cancer Awareness Day - Spouse Survivor Testimony, Mariann Cheney (12)",330,11 years,"Mariann was the twelfth in a series of speakers who participated in the November 3rd Annual Pancreatic Cancer Awareness Day, ...",2024-01-27 23:52:23.479902
/watch?v=hJuM7hYN8tI&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@YourCentralValley,CBS47 KSEE24,Tap Water & Cancer,155,4 years,Study links tap water and cancer.,2024-01-27 23:52:23.483317
/watch?v=1c7sTQkPShU&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@nyphospital,NewYork-Presbyterian Hospital,Pancreatic Cancer Awareness Day - Mariann Cheney,87,10 years,NewYork-Presbyterian's 2012 Annual Pancreatic Cancer Awareness Day took place on November 3rd and featured a series of ...,2024-01-27 23:52:23.484236
/watch?v=EgqYuVDHm2c&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@VJOncology,VJOncology,Elucidating the biology of upper tract urothelial cancer,7,1 day,"Bishoy Faltas, MD, Weill Cornell Medicine, New York, NY, discusses research on the characterization of upper tract urothelial ...",2024-01-27 23:52:23.485093
/watch?v=NunanYdKpMY&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@kare11,KARE 11,Digital Dive: 5 things to know about pancreatic cancer,172,4 years,"Welcome to the official YouTube channel of KARE 11 News. Subscribe to our channel for compelling and dramatic storytelling, ...",2024-01-27 23:52:23.486022
/watch?v=0-Ib26bNGvs&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@kare11,KARE 11,Alex Trebek shares 'mind-boggling' cancer treatment update,285,4 years,The beloved host said that he is responding positively to chemotherapy and thanked his fans and friends for their thoughts and ...,2024-01-27 23:52:23.486927
/watch?v=bpuIORyIrDA&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@ColumbiaCancer,Herbert Irving Comprehensive Cancer Center at Columbia,"Cancer and the Environment | June 21, 2023",319,6 months,"This event was previously recorded on Wednesday, June 21, 2023. In this event from Columbia University's Herbert Irving ...",2024-01-27 23:52:23.487756
/watch?v=JInWOtXKGnw&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@CBS,CBS,"Living With Colon, Pancreatic Cancer",1.4K,15 years,"A specialist in colon and pancreatic cancers talks with Russ Mitchell about the diagnosis process, promising developments and ...",2024-01-27 23:52:23.488660
/watch?v=40IDNmpr1rA&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@CancerResearchInstitute,Cancer Research Institute,Dr. Glenn Dranoff Presents the 2013 William B. Coley Award to Dr. Michael Karin,610,10 years,"At the Cancer Research Institute's 60th Anniversary Awards Dinner, held Sept. 30, 2013, in New York City, CRI presented the ...",2024-01-27 23:52:23.489550
/watch?v=VaUX57Zq7gQ&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@austincyberknife,Austin CyberKnife,Dr. Rivera Discusses Lung Cancer on KXAN TV,57,5 years,"Watch Austin CyberKnife Medical Director, Douglas Rivera, M.D., discuss lung cancer and how it is treated by CyberKnife ...",2024-01-27 23:52:23.490436
/watch?v=aR9-oxvmA5o&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@coopertv,coopertv,Meet Dr. Gary Eastwick | Radiation Oncologist | MD Anderson Cancer Center at Cooper,135,5 months,"Meet Dr. Gary Eastwick, a Radiation Oncologist at MD Anderson Cancer Center at Cooper. To learn more about our ...",2024-01-27 23:52:23.491301
/watch?v=mwOWJDY1Abc&pp=ygUZSGlua2xleSBDYWxpZm9ybmlhIGNhbmNlcg%3D%3D,/@StopPancreaticCancer,Pancreatic Cancer Action Network,"Margaret Tempero, MD:  A Pancreatic Cancer Expert and Longtime Supporter",1.1K,11 years,"Margaret Tempero, MD, is the Director of the Pancreas Center at the University of California, San Francisco, Professor of Medicine ...",2024-01-27 23:52:23.492180
